route_id,service_id,trip_id,trip_headsign,direction_id,block_id
DUA8008530210015,9172,DUASN124639F01001-1_305902,"PERA",0,
DUA8008530210015,9172,DUASN124667F01001-1_305903,"PERA",0,
DUA8008530210015,9172,DUASN124661F01001-1_305904,"PERA",0,
DUA8008530210015,9172,DUASN124653F01001-1_305905,"PERA",0,
DUA8008530210015,9172,DUASN124673F01001-1_305906,"PERA",0,
DUA8008530210015,9916,DUASN124677F01001-1_305907,"POVA",0,
DUA8008530210015,9943,DUASN124687F01001-1_305908,"POVA",0,
DUA8008530210015,9942,DUASN124689F01001-1_305909,"POVA",0,
DUA8008530210015,9942,DUASN124691F01001-1_305910,"POVA",0,
DUA8008530210015,9889,DUASN124699F08001-1_305911,"POVA",0,
DUA8008530210015,9890,DUASN124645F01001-1_305912,"POVA",0,
DUA8008530210015,9891,DUASN124635F01001-1_305913,"POVA",0,
DUA8008530210015,9890,DUASN124675F01001-1_305914,"POVA",0,
DUA8008530210015,9890,DUASN124655F01001-1_305915,"POVA",0,
DUA8008530210015,9172,DUASN124633F01001-1_305916,"POVA",0,
DUA8008530212005,9927,DUASN123507F01002-1_305917,"ODDA",0,
DUA8008530212005,9927,DUASN123527F01002-1_305918,"ODDA",0,
DUA8008530212005,9927,DUASN123493F01002-1_305919,"ODDA",0,
DUA8008530212005,9927,DUASN123485F01002-1_305920,"ODDA",0,
DUA8008530212005,9927,DUASN123521F01002-1_305921,"ODDA",0,
DUA8008530212005,9926,DUASN123433F01002-1_305922,"ODEA",0,
DUA8008530212005,9926,DUASN123443F01002-1_305923,"ODEA",0,
DUA8008530212005,9927,DUASN123513F01002-1_305924,"ODDA",0,
DUA8008530212005,9926,DUASN123437F01002-1_305925,"ODEA",0,
DUA8008530212005,9927,DUASN123541F01002-1_305926,"ODDA",0,
DUA8008530212005,9927,DUASN123563F01002-1_305927,"ODDA",0,
DUA8008530212005,9927,DUASN123555F01002-1_305928,"ODDA",0,
DUA8008530212005,9927,DUASN123549F01002-1_305929,"ODDA",0,
DUA8008530212005,9927,DUASN123583F01002-1_305930,"ODDA",0,
DUA8008530212005,9927,DUASN123535F01002-1_305931,"ODDA",0,
DUA8008530212005,9927,DUASN123499F01002-1_305932,"ODDA",0,
DUA8008530212005,9927,DUASN123577F01002-1_305933,"ODDA",0,
DUA8008530212005,9927,DUASN123569F01002-1_305934,"ODDA",0,
DUA8008530212005,8994,DUASN123537F01001-1_305935,"OPOC",0,
DUA8008530212005,8994,DUASN123543F01001-1_305936,"OPOC",0,
DUA8008530212005,9928,DUASN123555F01001-1_305937,"ODDA",0,
DUA8008530212005,9930,DUASN123545F01002-1_305938,"OPOC",0,
DUA8008530212005,9929,DUASN123545F01001-1_305939,"OPOC",0,
DUA8008530212005,9929,DUASN123573F01001-1_305940,"OPOC",0,
DUA8008530212005,9928,DUASN123563F01001-1_305941,"ODDA",0,
DUA8008530212005,8994,DUASN123565F01001-1_305942,"OPOC",0,
DUA8008530212005,8994,DUASN123571F01001-1_305943,"OPOC",0,
DUA8008530212005,9926,DUASN123413F01002-1_305944,"ODEA",0,
DUA8008530212005,9926,DUASN123409F01002-1_305945,"ODEA",0,
DUA8008530212005,9926,DUASN123453F01002-1_305946,"ODEA",0,
DUA8008530212005,9926,DUASN123447F01002-1_305947,"ODEA",0,
DUA8008530212005,9926,DUASN123417F01002-1_305948,"ODEA",0,
DUA8008530212005,9928,DUASN123549F01001-1_305949,"ODDA",0,
DUA8008530212005,8994,DUASN123551F01001-1_305950,"OPOC",0,
DUA8008530212005,9926,DUASN123427F01002-1_305951,"ODEA",0,
DUA8008530212005,9926,DUASN123423F01002-1_305952,"ODEA",0,
DUA8008530212005,9928,DUASN123541F01001-1_305953,"ODDA",0,
DUA8008530212005,9932,DUASN123477F01002-1_305954,"OPOC",0,
DUA8008530212005,9928,DUASN123493F01001-1_305955,"ODDA",0,
DUA8008530212005,9932,DUASN123475F01002-1_305956,"OPOC",0,
DUA8008530212005,9931,DUASN123477F01001-1_305957,"OPOC",0,
DUA8008530212005,8994,DUASN123495F01001-1_305958,"OPOC",0,
DUA8008530212005,9928,DUASN123485F01001-1_305959,"ODDA",0,
DUA8008530212005,8994,DUASN123487F01001-1_305960,"OPOC",0,
DUA8008530212005,9928,DUASN123499F01001-1_305961,"ODDA",0,
DUA8008530212005,9930,DUASN123489F01002-1_305962,"OPOC",0,
DUA8008530212005,9928,DUASN123417F01001-1_305963,"ODEA",0,
DUA8008530212005,9929,DUASN123419F01001-1_305964,"OPOC",0,
DUA8008530212005,9939,DUASN123419F01002-1_305965,"OPOC",0,
DUA8008530212005,9928,DUASN123413F01001-1_305966,"ODEA",0,
DUA8008530212005,9932,DUASN123459F01002-1_305967,"OPOC",0,
DUA8008530212005,9932,DUASN123481F01002-1_305968,"OPOC",0,
DUA8008530212005,9931,DUASN123479F01001-1_305969,"OPOC",0,
DUA8008530212005,9932,DUASN123479F01002-1_305970,"OPOC",0,
DUA8008530212005,9931,DUASN123481F01001-1_305971,"OPOC",0,
DUA8008530212005,9932,DUASN123473F01002-1_305972,"OPOC",0,
DUA8008530212005,9931,DUASN123471F01001-1_305973,"OPOC",0,
DUA8008530212005,9932,DUASN123471F01002-1_305974,"OPOC",0,
DUA8008530212005,9931,DUASN123473F01001-1_305975,"OPOC",0,
DUA8008530212005,9932,DUASN123467F01002-1_305976,"OPOC",0,
DUA8008530212005,9928,DUASN123569F01001-1_305977,"ODDA",0,
DUA8008530212005,9928,DUASN123577F01001-1_305978,"OPOC",0,
DUA8008530212005,9931,DUASN123469F01001-1_305979,"OPOC",0,
